City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,stanley,54.868,-1.6985,8.21,82,0,3.6,GB,1699699119
153,amasra,41.7463,32.3863,23.03,48,99,1.12,TR,1699699241
154,kasumkent,41.6773,48.146,14.2,54,14,2.39,RU,1699699242
155,quezon,7.7303,125.0989,24.13,90,63,0.94,PH,1699699244
156,sebastopol,44.6,33.5333,17.78,55,97,3.13,UA,1699699053
157,betio village,1.358,172.9211,29.02,81,96,2.31,KI,1699699245
158,campo gallo,-26.5833,-62.85,29.65,56,1,0.12,AR,1699699245
159,nar'yan-mar,67.6713,53.087,-4.94,94,100,8.05,RU,1699699246
160,carnarvon,-24.8667,113.6333,21.46,70,0,7.87,AU,1699699148
161,tsiombe,-25.3,45.4833,26.95,42,1,6.85,MG,1699699247
162,hami,42.8,93.45,7.39,22,100,1.2,CN,1699699247
163,freetown,8.484,-13.2299,23.84,100,75,2.06,SL,1699699248
164,flin flon,54.7682,-101.865,-5.16,94,9,3.08,CA,1699699249
165,iskateley,67.6803,53.1512,-4.99,94,100,8.05,RU,1699699249
166,yuzhno-kurilsk,44.0306,145.8556,5.76,88,86,12.17,RU,1699699250
167,general ramirez,-32.176,-60.2008,19.29,98,98,3.96,AR,1699699252
168,longyearbyen,78.2186,15.6401,-8.09,73,75,3.6,SJ,1699699252
169,arkhangel'sk,64.5401,40.5433,0.63,98,98,2.07,RU,1699699253
170,hithadhoo,-0.6,73.0833,27.29,81,44,6.25,MV,1699699254
171,ambatofinandrahana,-20.55,46.8,27.08,27,0,1.36,MG,1699699255
172,piranshahr,36.701,45.1413,17.92,33,100,2.5,IR,1699699255
173,saint-pierre,-21.3393,55.4781,26.82,69,20,3.09,RE,1699699256
174,pucon,-39.2822,-71.9543,7.49,96,100,4.72,CL,1699699112
175,alice springs,-23.7,133.8833,31.75,25,44,3.6,AU,1699699011
176,argo,37.6333,22.7333,24.88,45,24,7.01,GR,1699699258
177,adelia maria,-33.6315,-64.021,15.36,89,7,0.89,AR,1699699259
178,badger,64.8,-147.5333,-8.07,92,100,0.0,US,1699699259
179,papatowai,-46.5619,169.4708,11.45,61,78,2.73,NZ,1699699260
180,hamilton,39.1834,-84.5333,2.83,83,0,2.57,US,1699699261
181,saynshand,44.8824,110.1163,-12.84,80,22,2.08,MN,1699699261
182,garhi khairo,28.0606,67.9803,30.82,18,0,1.28,PK,1699699262
183,betong,5.7743,101.0723,23.13,98,100,0.87,TH,1699699263
184,tuy hoa,13.0833,109.3,25.32,92,14,2.02,VN,1699699263
185,nichinan,31.6,131.3667,16.82,72,99,0.79,JP,1699699264
186,przasnysz,53.0191,20.8803,6.88,95,100,0.7,PL,1699699265
187,alo,7.4178,6.7371,29.77,68,94,1.67,NG,1699699266
188,nampula,-15.1165,39.2666,26.97,65,75,4.12,MZ,1699699266
189,st. john's,47.5649,-52.7093,1.66,94,100,11.32,CA,1699699269
190,laguna,38.421,-121.4238,12.19,82,0,1.54,US,1699699269
191,emmett,43.8735,-116.4993,7.94,63,98,2.06,US,1699699270
192,kudahuvadhoo,2.6708,72.8944,27.85,74,100,3.39,MV,1699699271
193,kloulklubed,7.0419,134.2556,28.28,76,98,4.64,PW,1699699271
194,umarga,17.8333,76.6167,30.62,32,52,4.17,IN,1699699245
195,fortuna,40.5982,-124.1573,9.08,96,100,0.0,US,1699699273
196,hasaki,35.7333,140.8333,13.22,61,100,7.1,JP,1699699133
197,cidreira,-30.1811,-50.2056,21.24,88,90,8.91,BR,1699699274
198,rio grande,-32.035,-52.0986,21.06,98,100,2.85,BR,1699699275
199,qusmuryn,52.4503,64.6311,8.96,65,100,5.27,KZ,1699699276
200,san antonio de pale,-1.4014,5.6325,26.03,82,100,5.75,GQ,1699699276
201,armacao de buzios,-22.7469,-41.8817,24.03,81,3,3.87,BR,1699699277
202,ndjole,-0.1783,10.7649,23.5,98,100,0.32,GA,1699699278
203,bogale,16.2833,95.4,28.07,81,91,1.73,MM,1699699279
204,hobyo,5.3505,48.5268,26.13,80,100,0.41,SO,1699699280
205,happy valley-goose bay,53.3168,-60.3315,-3.83,80,100,4.12,CA,1699699281
206,pumiao,22.75,108.4833,29.22,82,82,4.27,CN,1699699282
207,la passe,45.5549,-0.8967,12.23,74,62,4.17,FR,1699699283
208,inirida,3.8653,-67.9239,22.45,99,88,0.66,CO,1699699284
209,volksrust,-27.3654,29.8818,31.64,15,71,3.65,ZA,1699699284
210,ilulissat,69.2167,-51.1,-5.99,53,75,5.66,GL,1699699285
211,lenina,46.0667,39.7833,11.03,49,99,7.14,RU,1699699286
212,remontnoye,46.5614,43.6501,11.69,42,76,7.05,RU,1699699288
213,hohenwestedt,54.0833,9.6667,8.23,85,100,1.84,DE,1699699288
214,emerald,-23.5333,148.1667,25.75,46,79,8.14,AU,1699699289
215,caleta de carquin,-11.0925,-77.6267,18.38,89,41,2.44,PE,1699699290
216,ulysses,37.5814,-101.3552,5.72,65,40,5.14,US,1699699290
217,gadzhiyevo,69.2551,33.3362,-2.56,70,82,5.62,RU,1699699292
218,nemuro,43.3236,145.575,3.48,75,39,9.35,JP,1699699212
219,weno,7.4515,151.8468,27.97,89,75,3.6,FM,1699699293
220,slyudyanka,51.6594,103.7061,-6.11,87,4,1.76,RU,1699699293
221,le morne-rouge,14.7667,-61.1333,24.76,78,34,7.88,MQ,1699699294
222,sokoni,-6.4333,39.55,27.29,76,87,4.23,TZ,1699699294
223,kourou,5.1552,-52.6478,28.0,79,15,4.36,GF,1699699083
224,puerto lempira,15.2667,-83.7667,25.18,93,98,2.86,HN,1699699295
225,izki,22.9333,57.7667,29.82,16,18,1.54,OM,1699699296
226,port saint john's,-31.6229,29.5448,24.77,72,81,6.73,ZA,1699699297
227,la'ie,21.6477,-157.9253,25.98,85,27,4.02,US,1699699298
228,montaigu,46.9767,-1.3085,11.29,73,67,3.28,FR,1699699300
229,rute,37.3269,-4.3683,14.66,82,81,0.58,ES,1699699300
230,port lincoln,-34.7333,135.8667,13.29,70,99,7.46,AU,1699699302
231,kodiak,57.79,-152.4072,0.73,55,0,6.69,US,1699699302
232,ta`u,-14.2336,-169.5144,27.1,83,10,2.53,AS,1699699303
233,porto novo,6.4965,2.6036,30.9,61,85,4.05,BJ,1699699303
234,ankang,32.68,109.0172,5.88,81,100,1.35,CN,1699699304
235,andergrove,-21.0833,149.1833,23.69,73,68,5.26,AU,1699699304
236,manado,1.487,124.8455,26.43,89,40,0.51,ID,1699699050
237,marianna,30.7744,-85.2269,19.98,94,100,3.6,US,1699699305
238,northport,33.229,-87.5772,12.16,91,100,4.63,US,1699699306
239,whitehorse,60.7161,-135.0538,-0.57,93,100,0.0,CA,1699699306
240,lorengau,-2.0226,147.2712,27.12,83,99,3.08,PG,1699699307
241,aguada de pasajeros,22.385,-80.8508,23.77,94,16,3.72,CU,1699699307
242,byron bay,-28.65,153.6167,18.73,83,1,4.32,AU,1699699309
243,wakkanai,45.4094,141.6739,-0.51,96,100,5.81,JP,1699699310
244,funafuti,-8.5243,179.1942,29.0,94,40,2.57,TV,1699699311
245,puerto baquerizo moreno,-0.9,-89.6,23.83,83,97,5.89,EC,1699699311
246,yarmouth,41.7057,-70.2286,9.08,69,0,10.73,US,1699699312
247,kaspiyskiy,45.3929,47.3707,10.89,54,9,4.93,RU,1699699313
248,myitkyina,25.3833,97.4,22.11,64,1,0.21,MM,1699699314
249,kailua-kona,19.6406,-155.9956,24.17,91,100,3.09,US,1699699314
250,ramapuram,13.1167,79.2,27.9,56,40,4.78,IN,1699699315
251,nieuw amsterdam,5.8833,-55.0833,26.12,89,20,1.54,SR,1699699316
252,callao,-12.0667,-77.15,19.84,82,100,3.6,PE,1699699316
253,tsiroanomandidy,-18.7667,46.0333,34.13,25,6,1.01,MG,1699699317
254,keflavik,64.0049,-22.5624,4.24,93,75,5.14,IS,1699699093
255,tikhvin,59.6451,33.5294,5.68,89,100,2.07,RU,1699699318
256,xiaoshi,41.2971,124.1209,-9.85,98,61,0.37,CN,1699699319
257,haillicourt,50.4752,2.5746,10.96,89,7,3.58,FR,1699699319
258,vila do maio,15.1333,-23.2167,27.44,68,61,4.71,CV,1699699321
259,kill devil hills,36.0307,-75.676,13.88,78,100,6.17,US,1699699321
260,pyu,18.4833,96.4333,26.53,87,65,2.32,MM,1699699323
